Pontos;Erro E(m);Erro N(m);Erro h(m)
1;-0.09;-0.06;0.17
2;-0.12;0.03;-0.17
3;-0.04;0.03;-0.7
4;-0.01;-0.05;0.62
5;-0.07;-0.11;-0.24
11;-0.15;-0.16;0.43
12;0.01;-0.1;-0.16
13;-0.16;0.03;0.04
14;0.02;-0.23;-0.68
16;-0.17;-0.16;-0.05
17;-0.14;-0.06;-0.15
18;-0.16;-0.03;0.06
20;0.12;0.09;-0.49
22;-0.14;0.06;-0.58
24;-0.09;0.1;-0.71
25;-0.03;0.11;-0.58
26;0;0.04;0.11
27;-0.24;0.08;0.33
28;0.09;0;-0.18
29;-0.02;-0.08;-0.22
30;-0.08;-0.07;-0.09
31;-0.29;-0.02;0
33;-0.04;0.01;-0.28
34;-0.08;-0.03;0.39
36;-0.05;-0.02;-1.09
37;-0.06;-0.02;0.69
44;-0.12;0.18;-0.74
46;-0.04;-0.07;-0.54
