condominio;quartos;suites;vagas;area;bairro;atualizacao;preco;distancia;pm2
350;1;0.0;1.0;21;1;1;340000;99.0;16190.48
800;1;0.0;1.0;64;1;0;770000;99.0;12031.25
674;1;0.0;1.0;61;1;1;600000;99.0;9836.07
700;1;1.0;1.0;70;1;0;700000;99.0;10000.0
440;1;0.0;1.0;44;1;2;515000;99.0;11704.55
917;1;1.0;1.0;60;1;2;630000;99.0;10500.0
850;1;1.0;1.0;65;1;2;740000;99.0;11384.62
350;1;1.0;1.0;43;1;0;570000;99.0;13255.81
440;1;1.0;1.0;26;1;0;430000;99.0;16538.46
510;1;1.0;1.0;42;1;3;500000;99.0;11904.76
200;1;0.0;1.0;35;1;6;500000;99.0;14285.71
552;1;1.0;1.0;67;1;10;790000;99.0;11791.04
495;1;1.0;1.0;54;1;0;515000;99.0;9537.04
340;1;1.0;1.0;40;1;9;410000;99.0;10250.0
800;1;1.0;1.0;60;1;2;625000;99.0;10416.67
530;1;0.0;1.0;40;1;1;360000;99.0;9000.0
500;1;0.0;1.0;47;1;0;670000;99.0;14255.32
600;1;1.0;1.0;45;1;1;500000;99.0;11111.11
465;1;0.0;1.0;50;1;1;570000;99.0;11400.0
1400;1;1.0;1.0;50;1;1;570000;99.0;11400.0
700;1;1.0;1.0;58;1;1;630000;99.0;10862.07
250;1;0.0;1.0;40;1;2;400000;99.0;10000.0
1000;1;1.0;1.0;54;1;0;750000;99.0;13888.89
280;1;0.0;1.0;65;1;0;578000;99.0;8892.31
481;1;1.0;1.0;28;1;3;350000;99.0;12500.0
150;1;0.0;1.0;40;1;9;130000;99.0;3250.0
1071;1;1.0;1.0;44;1;11;597000;99.0;13568.18
750;2;1.0;1.0;70;1;6;995000;99.0;14214.29
992;2;1.0;1.0;105;1;1;1150000;99.0;10952.38
990;2;1.0;1.0;100;1;11;1200000;99.0;12000.0
960;2;1.0;1.0;80;1;2;980000;99.0;12250.0
1200;2;1.0;2.0;68;1;1;950000;99.0;13970.59
1100;2;2.0;2.0;80;1;0;1080000;99.0;13500.0
1170;2;1.0;1.0;80;1;0;815000;99.0;10187.5
1100;2;1.0;1.0;72;1;0;930000;99.0;12916.6
519;2;1.0;1.0;58;1;3;750000;99.0;12931.03
750;2;1.0;1.0;86;1;1;720000;99.0;8372.09
905;2;1.0;1.0;85;1;1;1100000;99.0;12941.18
600;2;1.0;1.0;70;1;1;720000;99.0;10285.71
760;2;1.0;1.0;76;1;0;890000;99.0;11710.53
700;2;1.0;1.0;75;1;1;770000;99.0;10266.67
860;2;2.0;1.0;76;1;2;1050000;99.0;13815.79
990;2;1.0;2.0;66;1;0;920000;99.0;13939.39
520;2;1.0;1.0;75;1;11;519000;99.0;6920.0
860;2;1.0;1.0;76;1;1;980000;99.0;12894.74
790;2;1.0;1.0;69;1;2;950000;99.0;13768.12
1000;2;1.0;1.0;88;1;10;995000;99.0;11306.82
750;2;1.0;1.0;90;1;28;1250000;99.0;13888.89
550;2;1.0;1.0;62;1;10;675000;99.0;10887.1
1100;2;1.0;2.0;84;1;6;940000;99.0;11190.48
745;2;1.0;1.0;82;1;0;879000;99.0;10719.51
1400;2;1.0;1.0;75;1;0;1300000;99.0;17333.33
970;2;1.0;1.0;75;1;0;980000;99.0;13066.67
1800;2;1.0;1.0;90;1;24;1130000;99.0;12555.56
968;2;1.0;1.0;80;1;1;799000;99.0;9987.5
900;2;1.0;1.0;90;1;3;980000;99.0;10888.89
830;2;1.0;1.0;93;1;0;1150000;99.0;12365.59
665;2;1.0;1.0;68;1;9;885000;99.0;13014.71
450;2;1.0;1.0;117;1;1;800000;99.0;6837.61
720;2;1.0;1.0;85;1;0;705000;99.0;8294.12
450;2;1.0;1.0;75;1;0;810000;99.0;10800.0
960;2;1.0;1.0;87;1;1;950000;99.0;10919.54
450;2;1.0;1.0;68;1;2;450000;99.0;6617.65
1942;3;1.0;2.0;129;1;0;1659000;99.0;12860.47
1200;3;1.0;1.0;120;1;0;1100000;99.0;9166.67
890;3;1.0;2.0;109;1;0;950000;99.0;8715.6
1400;3;1.0;1.0;94;1;2;950000;99.0;10106.38
1580;3;1.0;1.0;215;1;9;1890000;99.0;8790.7
1670;3;1.0;2.0;114;1;2;1900000;99.0;16666.67
1500;3;1.0;2.0;114;1;1;1600000;99.0;14035.09
1335;3;1.0;1.0;130;1;0;1300000;99.0;10000.0
700;3;1.0;1.0;89;1;0;850000;99.0;9550.56
1350;3;1.0;2.0;135;1;0;1625000;99.0;12037.04
1000;3;1.0;1.0;83;1;0;900000;99.0;10843.37
1700;3;1.0;1.0;113;1;0;1400000;99.0;12389.38
980;3;1.0;1.0;100;1;4;950000;99.0;9500.0
700;3;1.0;1.0;96;1;0;1200000;99.0;12500.0
1350;3;1.0;2.0;104;1;1;1750000;99.0;16826.92
1000;3;1.0;1.0;99;1;1;1340000;99.0;13535.35
1206;3;1.0;2.0;104;1;4;1650000;99.0;15865.38
1206;3;1.0;2.0;107;1;2;1750000;99.0;16355.14
750;3;1.0;1.0;115;1;8;1100000;99.0;9565.22
1400;3;1.0;2.0;103;1;0;1700000;99.0;16504.85
1000;3;1.0;1.0;83;1;0;900000;99.0;10843.37
500;3;1.0;1.0;103;1;2;990000;99.0;9611.65
1260;3;1.0;2.0;115;1;2;1650000;99.0;14347.83
1000;3;1.0;1.0;78;1;10;1128000;99.0;14461.54
3900;3;3.0;3.0;220;1;1;3880000;99.0;17636.36
750;3;1.0;1.0;86;1;0;720000;99.0;8372.09
1029;3;1.0;1.0;88;1;9;1150000;99.0;13068.18
1200;3;1.0;1.0;97;1;1;1800000;99.0;18556.7
1300;3;1.0;1.0;120;1;1;980000;99.0;8166.67
760;3;1.0;1.0;90;1;0;750000;99.0;8333.33
1400;3;1.0;2.0;100;1;1;1530000;99.0;15300.0
1380;3;1.0;1.0;94;1;0;880000;99.0;9361.7
200;3;1.0;1.0;109;1;0;798000;99.0;7321.1
700;3;1.0;2.0;97;1;1;1270000;99.0;13092.78
1400;3;1.0;1.0;140;1;19;2500000;99.0;17857.14
1600;3;3.0;2.0;126;1;0;1600000;99.0;12698.41
500;3;1.0;1.0;112;1;3;1270000;99.0;11339.29
1500;3;1.0;1.0;110;1;0;1550000;99.0;14090.91
1000;3;1.0;2.0;110;1;1;1450000;99.0;13181.82
1000;3;1.0;1.0;120;1;0;1100000;99.0;9166.67
1133;3;1.0;1.0;122;1;0;1820000;99.0;14918.03
840;3;1.0;2.0;105;1;3;1594389;99.0;15184.66
1400;3;2.0;1.0;90;1;8;1380000;99.0;15333.33
500;1;1.0;1.0;22;2;2;265000;0.39;12045.45
700;1;1.0;1.0;60;2;0;600000;1.08;10000.0
590;1;0.0;1.0;37;2;8;560000;0.12;15135.14
450;1;0.0;1.0;40;2;2;550000;0.27;13750.0
450;1;1.0;1.0;40;2;1;640000;99.0;16000.0
650;1;0.0;1.0;45;2;19;560000;99.0;12444.44
650;1;0.0;1.0;60;2;10;650000;99.0;10833.33
470;1;0.0;1.0;34;2;0;380000;99.0;11176.47
390;1;1.0;1.0;31;2;2;515000;0.47;16612.9
550;1;0.0;1.0;42;2;23;500000;99.0;11904.76
365;1;0.0;1.0;40;2;28;390000;0.24;9750.0
520;1;1.0;1.0;25;2;2;270000;0.4;10800.0
400;1;0.0;1.0;42;2;2;450000;0.55;10714.29
430;1;0.0;1.0;55;2;13;590000;99.0;10727.27
550;1;0.0;1.0;48;2;2;570000;0.25;11875.0
739;1;0.0;1.0;60;2;3;590000;0.44;9833.33
540;1;1.0;1.0;35;2;0;470000;0.55;13428.57
1500;1;1.0;1.0;35;2;0;895000;0.2;25571.43
400;1;1.0;1.0;45;2;3;550000;0.57;12222.22
550;1;1.0;1.0;48;2;18;630000;0.46;13125.0
512;1;0.0;1.0;28;2;28;399000;99.0;14250.0
472;1;1.0;1.0;55;2;2;570000;99.0;10363.64
660;1;1.0;1.0;50;2;12;629000;0.36;12580.0
650;1;0.0;1.0;48;2;1;520000;0.33;10833.33
450;1;1.0;1.0;48;2;24;480000;99.0;10000.0
705;1;1.0;1.0;65;2;0;590000;0.28;9076.92
560;1;1.0;1.0;39;2;0;450000;0.45;11538.46
350;1;1.0;1.0;40;2;0;390000;99.0;9750.0
490;1;0.0;1.0;48;2;0;430000;99.0;8958.33
520;1;0.0;1.0;56;2;6;635000;99.0;11339.29
380;1;1.0;1.0;32;2;5;420000;99.0;13125.0
600;1;1.0;1.0;60;2;10;480000;99.0;8000.0
400;1;1.0;1.0;45;2;9;630000;99.0;14000.0
700;2;1.0;1.0;78;2;0;730000;99.0;9358.97
700;2;1.0;1.0;80;2;10;898000;99.0;11225.0
1000;2;1.0;1.0;120;2;3;840000;0.41;7000.0
500;2;2.0;1.0;75;2;0;1680000;99.0;22400.0
800;2;1.0;1.0;78;2;3;790000;99.0;10128.21
1500;2;1.0;1.0;150;2;20;1300000;99.0;8666.67
821;2;1.0;1.0;75;2;0;1190000;0.36;15866.67
600;2;1.0;1.0;53;2;1;810000;0.3;15283.02
650;2;1.0;2.0;80;2;0;820000;0.68;10250.0
950;2;1.0;1.0;95;2;0;1280000;99.0;13473.68
1500;2;2.0;1.0;195;2;1;1300000;0.26;6666.67
700;2;1.0;1.0;80;2;3;710000;0.39;8875.0
650;2;1.0;1.0;82;2;25;950000;0.19;11585.37
945;2;2.0;1.0;71;2;3;950000;0.44;13380.28
650;2;1.0;2.0;80;2;0;900000;0.68;11250.0
